일자,기관 합계,기타법인,개인,외국인 합계,전체
"2021/12/03","-19155","2762","-20451","36844","0"
"2021/12/02","-21557","-8191","-14720","44468","0"
"2021/12/01","1166","-2351","-9517","10702","0"
"2021/11/30","-6366","-2099","32696","-24231","0"
"2021/11/29","-36460","-2682","46911","-7769","0"
"2021/11/26","-1747","495","-20709","21961","0"
"2021/11/25","-4641","-3383","-2702","10726","0"
"2021/11/24","-1206","-2614","-23113","26933","0"
"2021/11/23","-2155","-4677","-17378","24210","0"
"2021/11/22","-1076","-9484","-21788","32348","0"
"2021/11/19","536","-3800","-2831","6095","0"
"2021/11/18","4865","-7049","-4381","6565","0"
"2021/11/17","413","-1774","-13060","14421","0"
"2021/11/16","5785","-925","-15258","10398","0"
"2021/11/15","4163","-5587","-32414","33838","0"
"2021/11/12","13981","1260","-71399","56158","0"
"2021/11/11","-104529","-2321","84053","22797","0"
"2021/11/10","-58968","3202","42990","12776","0"
"2021/11/09","-32788","-1105","34151","-258","0"
"2021/11/08","-46560","-968","37924","9604","0"
"2021/11/05","-20316","-2349","-13454","36119","0"
"2021/11/04","-40328","2055","3189","35084","0"
"2021/11/03","-28652","-2404","10079","20977","0"
"2021/11/02","962","55","-24513","23496","0"
"2021/11/01","-7100","-1050","-2499","10649","0"
"2021/10/29","-15736","340","5939","9457","0"
"2021/10/28","-3371","1032","2099","240","0"
"2021/10/27","-5300","-374","-9690","15364","0"
"2021/10/26","-2158","-5452","-13451","21061","0"
"2021/10/25","2245","-1566","-9328","8649","0"
"2021/10/22","536","-539","2980","-2977","0"
"2021/10/21","1657","-2012","-407","762","0"
"2021/10/20","-40","-3084","-4415","7539","0"
"2021/10/19","-163","-1310","-4944","6417","0"
"2021/10/18","2002","-995","-8834","7827","0"
"2021/10/15","13992","-4959","-22895","13862","0"
"2021/10/14","-94430","6298","72070","16062","0"
"2021/10/13","-42610","9769","18325","14516","0"
"2021/10/12","-67130","8369","54013","4748","0"
"2021/10/08","-32181","1656","-7275","37800","0"
"2021/10/07","-7992","-3835","-23199","35026","0"
"2021/10/06","-36373","-3505","20367","19511","0"
"2021/10/05","-27712","2048","39527","-13863","0"
"2021/10/01","-9597","2260","14905","-7568","0"
"2021/09/30","-6328","-2614","-6675","15617","0"
"2021/09/29","-273","-960","1586","-353","0"
"2021/09/28","-11310","-4440","-1004","16754","0"
"2021/09/27","-12671","-749","-9646","23066","0"
"2021/09/24","-2185","-1241","7168","-3742","0"
"2021/09/23","5218","-1640","-6924","3346","0"
"2021/09/17","5069","-397","-3779","-893","0"
"2021/09/16","3827","-365","-4992","1530","0"
"2021/09/15","5922","-1440","-14914","10432","0"
"2021/09/14","4166","-44","-4518","396","0"
"2021/09/13","7732","-2307","-17618","12193","0"
"2021/09/10","10792","-3621","-27342","20171","0"
"2021/09/09","-110764","6438","128992","-24666","0"
"2021/09/08","-51727","3179","36873","11675","0"
"2021/09/07","-44596","2279","44789","-2472","0"
"2021/09/06","-20784","-1232","15000","7016","0"
"2021/09/03","-26856","-2688","-2511","32055","0"
"2021/09/02","-35175","5430","-6753","36498","0"
"2021/09/01","-7999","-12423","-27373","47795","0"
"2021/08/31","4183","1224","9823","-15230","0"
"2021/08/30","-9657","-280","-13671","23608","0"
"2021/08/27","-355","-595","-31356","32306","0"
"2021/08/26","-5741","-3883","-9658","19282","0"
"2021/08/25","-4707","-1708","-42","6457","0"
"2021/08/24","2466","-4331","-21208","23073","0"
"2021/08/23","6580","-1100","-13604","8124","0"
"2021/08/20","8570","1126","-24061","14365","0"
"2021/08/19","-261","-12130","-39394","51785","0"
"2021/08/18","11067","-5101","-27263","21297","0"
"2021/08/17","6971","-11640","-17577","22246","0"
"2021/08/13","13083","-2928","-55560","45405","0"
"2021/08/12","-80202","9350","64401","6451","0"
"2021/08/11","-31370","-944","36215","-3901","0"
"2021/08/10","-38749","2936","17193","18620","0"
"2021/08/09","-21885","-4374","4574","21685","0"
"2021/08/06","-18158","95","-8957","27020","0"
"2021/08/05","-2371","-5130","-27390","34891","0"
"2021/08/04","-38744","-1628","-9005","49377","0"
"2021/08/03","-5968","-11452","-28187","45607","0"
"2021/08/02","-27812","-20170","-39751","87733","0"
"2021/07/30","-6598","-10262","3953","12907","0"
"2021/07/29","-4359","-6211","-5670","16240","0"
"2021/07/28","-796","-2549","-2865","6210","0"
"2021/07/27","1905","-4211","-7742","10048","0"
"2021/07/26","-13209","1142","4649","7418","0"
"2021/07/23","-1331","426","-7042","7947","0"
"2021/07/22","-1603","-6478","-8126","16207","0"
"2021/07/21","4121","3871","4221","-12213","0"
