일자,종가,대비,등락률,시가,고가,저가
"2020/08/25","24.63","1.81","-6.85","26.39","26.39","24.55"
"2020/08/24","26.44","0.45","-1.67","28.19","28.23","26.44"
"2020/08/21","26.89","1.29","-4.58","26.15","27.35","25.74"
"2020/08/20","28.18","3.80","15.59","24.96","28.22","24.66"
"2020/08/19","24.38","0.83","-3.29","24.16","24.69","23.93"
"2020/08/18","25.21","2.63","11.65","23.22","25.68","23.00"
"2020/08/14","22.58","0.46","2.08","22.14","23.51","22.10"
"2020/08/13","22.12","0.74","-3.24","22.61","22.66","21.96"
"2020/08/12","22.86","0.12","-0.52","23.14","23.63","22.82"
"2020/08/11","22.98","0.04","0.17","22.75","23.08","22.58"
"2020/08/10","22.94","0.87","3.94","22.77","22.98","22.54"
"2020/08/07","22.07","0.01","0.05","22.02","22.57","21.87"
"2020/08/06","22.06","0.48","2.22","21.74","22.42","21.66"
"2020/08/05","21.58","0.84","-3.75","22.17","22.19","21.57"
"2020/08/04","22.42","1.10","-4.68","22.99","23.28","22.40"
"2020/08/03","23.52","0.05","-0.21","24.26","24.27","23.48"
"2020/07/31","23.57","0.66","2.88","23.34","23.70","22.94"
"2020/07/30","22.91","0.42","-1.80","23.27","23.27","22.72"
"2020/07/29","23.33","0.41","1.79","23.21","23.63","23.19"
"2020/07/28","22.92","0.04","-0.17","22.66","23.03","22.39"
"2020/07/27","22.96","0.46","2.04","22.83","23.15","22.75"
"2020/07/24","22.50","1.50","7.14","21.43","22.61","21.36"
"2020/07/23","21.00","0.18","0.86","21.23","21.73","20.77"
"2020/07/22","20.82","0.27","-1.28","21.09","21.14","20.74"
"2020/07/21","21.09","1.28","-5.72","21.58","21.61","21.06"
"2020/07/20","22.37","0.03","0.13","22.98","23.14","22.30"
"2020/07/17","22.34","1.14","-4.86","22.90","23.12","22.30"
"2020/07/16","23.48","0.15","-0.63","23.64","23.85","23.14"
"2020/07/15","23.63","0.82","-3.35","23.35","24.05","23.35"
"2020/07/14","24.45","0.82","3.47","24.44","25.18","24.30"
"2020/07/13","23.63","1.20","-4.83","24.20","24.25","23.40"
"2020/07/10","24.83","1.45","6.20","24.56","24.96","23.73"
"2020/07/09","23.38","1.66","-6.63","24.22","24.29","23.19"
"2020/07/08","25.04","0.19","0.76","24.77","25.10","24.33"
"2020/07/07","24.85","0.83","3.46","23.62","25.07","23.62"
"2020/07/06","24.02","0.76","-3.07","24.64","24.65","23.71"
"2020/07/03","24.78","2.67","-9.73","27.04","27.05","24.69"
"2020/07/02","27.45","2.45","-8.19","29.04","29.08","27.45"
"2020/07/01","29.90","1.17","-3.77","29.96","30.07","28.97"
"2020/06/30","31.07","2.51","-7.47","31.54","31.55","30.14"
"2020/06/29","33.58","3.02","9.88","32.76","33.78","32.06"
"2020/06/26","30.56","2.56","-7.73","32.14","32.14","30.06"
"2020/06/25","33.12","2.92","9.67","31.86","33.20","31.65"
"2020/06/24","30.20","1.53","-4.82","31.35","31.35","30.03"
"2020/06/23","31.73","2.30","-6.76","31.80","34.52","31.10"
"2020/06/22","34.03","0.01","-0.03","35.39","35.52","32.79"
"2020/06/19","34.04","3.26","-8.74","38.01","38.40","33.53"
"2020/06/18","37.30","0.25","0.67","37.94","38.44","37.27"
"2020/06/17","37.05","1.15","3.20","36.17","38.60","36.17"
"2020/06/16","35.90","3.79","-9.55","35.80","35.90","34.69"
"2020/06/15","39.69","6.81","20.71","33.92","39.84","32.91"
