일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/06/14","328.23","-1.65","-0.50","325.68","329.27","323.36","174251.0","7468386.0","1.712327467E9"
"2022/06/13","329.88","-12.01","-3.51","335.76","335.97","329.88","163806.0","7193816.0","1.71901404E9"
"2022/06/10","341.89","-4.73","-1.36","342.32","343.25","340.66","136208.0","6290154.0","1.781297885E9"
"2022/06/09","346.62","0.40","0.12","345.35","346.82","343.69","191392.0","8507880.0","1.788694206E9"
"2022/06/08","346.22","0.55","0.16","346.46","348.11","345.56","123302.0","6030966.0","1.787550056E9"
"2022/06/07","345.67","-6.34","-1.80","350.04","350.53","345.02","135312.0","6687789.0","1.787307752E9"
"2022/06/03","352.01","1.50","0.43","353.47","353.93","351.10","134647.0","4797510.0","1.818050042E9"
"2022/06/02","350.51","-4.03","-1.14","352.29","352.81","349.55","196091.0","5908010.0","1.80973654E9"
"2022/05/31","354.54","2.05","0.58","351.79","354.72","350.01","266678.0","1.1290598E7","1.82955764E9"
"2022/05/30","352.49","4.45","1.28","351.53","352.85","350.07","151013.0","5604147.0","1.818267472E9"
"2022/05/27","348.04","3.78","1.10","348.42","349.11","347.15","133073.0","5613543.0","1.79592625E9"
"2022/05/26","344.26","-1.34","-0.39","345.54","349.03","342.65","126445.0","6231122.0","1.778033119E9"
"2022/05/25","345.60","1.52","0.44","346.34","347.60","343.51","125140.0","5781991.0","1.781457275E9"
"2022/05/24","344.08","-6.26","-1.79","349.02","349.79","344.08","150997.0","5827623.0","1.773639723E9"
"2022/05/23","350.34","1.05","0.30","351.16","351.41","348.48","183165.0","5447158.0","1.802702685E9"
"2022/05/20","349.29","6.05","1.76","345.15","349.68","344.89","133214.0","6183574.0","1.796371713E9"
"2022/05/19","343.24","-5.10","-1.46","341.07","344.10","340.55","196527.0","6861035.0","1.762095924E9"
"2022/05/18","348.34","0.81","0.23","349.62","351.20","347.15","166291.0","6302360.0","1.785066967E9"
"2022/05/17","347.53","3.59","1.04","345.14","347.91","345.13","171094.0","6087751.0","1.781495288E9"
"2022/05/16","343.94","-1.56","-0.45","348.13","348.88","343.52","231878.0","5375347.0","1.764017013E9"
"2022/05/13","345.50","7.56","2.24","340.49","345.82","339.72","187356.0","7012461.0","1.771987159E9"
"2022/05/12","337.94","-5.50","-1.60","340.14","343.03","337.65","262824.0","8649961.0","1.733833628E9"
"2022/05/11","343.44","-0.23","-0.07","342.22","344.45","341.22","184519.0","5952741.0","1.761493744E9"
"2022/05/10","343.67","-1.74","-0.50","343.22","344.73","338.46","249371.0","7398734.0","1.764078536E9"
"2022/05/09","345.41","-3.59","-1.03","347.71","349.40","344.84","256537.0","5551147.0","1.773484903E9"
"2022/05/06","349.00","-4.85","-1.37","350.26","350.26","347.98","622951.0","7285813.0","1.793525654E9"
"2022/05/04","353.85","0.53","0.15","354.85","356.05","352.27","279177.0","5532838.0","1.816811993E9"
"2022/05/03","353.32","-0.70","-0.20","354.28","356.45","353.12","132700.0","5403830.0","1.817435062E9"
"2022/05/02","354.02","-1.06","-0.30","351.31","354.53","350.94","131469.0","5220941.0","1.82283614E9"
"2022/04/29","355.08","4.92","1.41","350.43","355.34","349.73","182271.0","8028489.0","1.829299899E9"
"2022/04/28","350.16","3.95","1.14","348.61","350.16","346.02","164684.0","7241408.0","1.809956634E9"
"2022/04/27","346.21","-4.46","-1.27","346.42","346.78","343.76","146757.0","7409740.0","1.783204756E9"
"2022/04/26","350.67","1.69","0.48","351.33","352.20","350.38","122917.0","6485161.0","1.803372292E9"
"2022/04/25","348.98","-6.45","-1.81","351.36","352.26","348.91","139466.0","6608118.0","1.795867516E9"
"2022/04/22","355.43","-3.59","-1.00","355.54","356.08","353.64","214762.0","6159964.0","1.827433108E9"
"2022/04/21","359.02","1.50","0.42","358.33","360.74","358.24","148565.0","6401492.0","1.844970562E9"
"2022/04/20","357.52","0.16","0.04","357.14","358.28","354.93","148873.0","6540304.0","1.837724929E9"
"2022/04/19","357.36","3.73","1.05","355.77","358.53","355.29","130216.0","5195568.0","1.838442841E9"
"2022/04/18","353.63","-0.21","-0.06","352.19","354.87","351.46","110996.0","4519324.0","1.820426361E9"
"2022/04/15","353.84","-3.54","-0.99","354.35","355.10","352.63","142643.0","5821099.0","1.822874443E9"
"2022/04/14","357.38","-1.62","-0.45","359.23","359.29","356.17","159155.0","7211760.0","1.839248844E9"
"2022/04/13","359.00","6.68","1.90","353.83","359.43","353.30","177428.0","6214853.0","1.840860236E9"
"2022/04/12","352.32","-3.46","-0.97","353.51","354.83","351.37","129717.0","5816118.0","1.804155241E9"
"2022/04/11","355.78","-0.23","-0.06","354.47","357.73","353.78","131523.0","5668334.0","1.822990829E9"
"2022/04/08","356.01","0.28","0.08","356.86","357.62","354.27","166112.0","6737531.0","1.827801408E9"
"2022/04/07","355.73","-5.28","-1.46","358.43","358.92","355.37","193937.0","7704972.0","1.825372577E9"
"2022/04/06","361.01","-3.73","-1.02","362.04","362.96","360.52","176510.0","6512786.0","1.853471585E9"
"2022/04/05","364.74","-0.20","-0.05","366.08","366.67","363.67","244226.0","5262759.0","1.871692833E9"
"2022/04/04","364.94","1.75","0.48","361.85","365.08","360.69","171554.0","5298140.0","1.870975556E9"
"2022/04/01","363.19","-2.42","-0.66","363.97","364.10","361.54","446848.0","7196628.0","1.859039329E9"
"2022/03/31","365.61","1.11","0.30","364.10","367.01","363.94","388609.0","6751915.0","1.873138068E9"
"2022/03/30","364.50","0.73","0.20","366.17","366.82","363.64","141644.0","6530661.0","1.866462149E9"
"2022/03/29","363.77","1.71","0.47","364.18","365.56","362.27","132695.0","6170287.0","1.861718201E9"
"2022/03/28","362.06","0.00","0.00","360.63","363.25","358.70","136535.0","5890584.0","1.852836072E9"
"2022/03/25","362.06","-1.32","-0.36","364.76","364.92","361.34","119075.0","6974695.0","1.852857742E9"
"2022/03/24","363.38","-1.46","-0.40","361.83","363.50","360.40","149348.0","8556924.0","1.852397836E9"
"2022/03/23","364.84","3.18","0.88","364.06","366.40","362.89","137431.0","7142403.0","1.857635512E9"
"2022/03/22","361.66","2.89","0.81","358.76","362.11","358.61","120703.0","6949402.0","1.840175574E9"
"2022/03/21","358.77","-3.56","-0.98","363.81","363.86","358.41","117142.0","6428429.0","1.823581214E9"
"2022/03/18","362.33","0.87","0.24","361.16","362.78","359.60","155321.0","8266735.0","1.839501204E9"
"2022/03/17","361.46","5.37","1.51","362.39","364.18","361.36","172536.0","9185665.0","1.831739211E9"
"2022/03/16","356.09","5.06","1.44","354.88","356.29","351.97","125093.0","6385894.0","1.806858811E9"
"2022/03/15","351.03","-3.58","-1.01","352.34","353.90","350.38","149108.0","7168564.0","1.780993021E9"
"2022/03/14","354.61","-0.70","-0.20","354.72","356.48","352.82","163912.0","8994583.0","1.798277936E9"
"2022/03/11","355.31","-2.70","-0.75","355.95","356.85","353.26","182548.0","9197994.0","1.807963615E9"
"2022/03/10","358.01","8.63","2.47","354.33","358.27","354.33","212652.0","1.0823571E7","1.72693939E9"
"2022/03/08","349.38","-3.65","-1.03","348.12","352.82","346.85","185898.0","8648190.0","1.686882087E9"
"2022/03/07","353.03","-8.66","-2.39","356.59","356.59","351.91","193155.0","8909049.0","1.704885496E9"
"2022/03/04","361.69","-5.37","-1.46","365.35","365.54","360.19","237190.0","8988127.0","1.745417118E9"
"2022/03/03","367.06","6.47","1.79","364.37","367.40","363.99","167177.0","7323913.0","1.766946323E9"
"2022/03/02","360.59","-0.95","-0.26","361.52","362.81","359.89","170944.0","7679437.0","1.737159499E9"
"2022/02/28","361.54","3.10","0.86","356.59","361.54","355.77","237318.0","9445530.0","1.740100659E9"
"2022/02/25","358.44","3.40","0.96","358.79","360.85","357.02","154973.0","7423041.0","1.724125156E9"
"2022/02/24","355.04","-9.40","-2.58","360.05","360.77","354.01","167277.0","8503343.0","1.706719822E9"
"2022/02/23","364.44","0.93","0.26","366.25","366.58","362.39","139928.0","6112152.0","1.750747112E9"
"2022/02/22","363.51","-4.78","-1.30","362.93","364.81","360.74","162876.0","6905186.0","1.74429591E9"
"2022/02/21","368.29","-0.26","-0.07","362.83","368.75","361.14","109544.0","5668991.0","1.766524332E9"
"2022/02/18","368.55","-1.00","-0.27","365.57","369.32","364.69","137053.0","6082517.0","1.766942185E9"
"2022/02/17","369.55","2.25","0.61","368.11","373.03","365.48","209731.0","8637742.0","1.768354823E9"
"2022/02/16","367.30","6.87","1.91","365.96","367.66","364.64","108436.0","5968406.0","1.757384592E9"
"2022/02/15","360.43","-2.55","-0.70","364.44","364.79","358.75","140833.0","6638805.0","1.72307395E9"
"2022/02/14","362.98","-5.63","-1.53","364.36","365.97","360.46","146972.0","6963340.0","1.737779889E9"
"2022/02/11","368.61","-2.96","-0.80","367.54","371.35","366.90","161469.0","8189120.0","1.762081934E9"
"2022/02/10","371.57","2.92","0.79","371.84","372.86","369.30","180488.0","9052187.0","1.779231619E9"
"2022/02/09","368.65","5.17","1.42","367.02","368.65","365.79","117910.0","6516035.0","1.767413618E9"
"2022/02/08","363.48","0.56","0.15","365.91","367.32","360.78","133106.0","7590982.0","1.745680038E9"
"2022/02/07","362.92","-3.42","-0.93","365.40","365.40","359.59","135534.0","7200576.0","1.741572163E9"
"2022/02/04","366.34","4.74","1.31","363.10","366.79","361.84","109788.0","6431977.0","1.757020811E9"
"2022/02/03","361.60","3.62","1.01","364.07","366.13","361.60","125482.0","7863881.0","1.73343917E9"
"2022/01/28","357.98","9.40","2.70","350.29","358.84","347.28","146976.0","9427050.0","1.713135465E9"
"2022/01/27","348.58","-12.25","-3.39","360.83","363.11","348.55","158318.0","9998445.0","1.668229299E9"
"2022/01/26","360.83","-1.56","-0.43","363.72","365.31","360.47","109343.0","6781555.0","1.729489463E9"
"2022/01/25","362.39","-8.91","-2.40","370.30","370.73","359.85","142181.0","8369863.0","1.737587255E9"
"2022/01/24","371.30","-4.78","-1.27","374.64","375.45","369.63","112640.0","6718748.0","1.78316953E9"
"2022/01/21","376.08","-4.31","-1.13","376.74","377.69","373.35","134237.0","8074616.0","1.807956134E9"
"2022/01/20","380.39","2.18","0.58","377.97","380.45","376.49","114099.0","6960682.0","1.825981937E9"
"2022/01/19","378.21","-2.80","-0.73","377.75","381.91","376.74","126170.0","7634914.0","1.813956759E9"
"2022/01/18","381.01","-2.80","-0.73","385.07","385.63","379.79","127939.0","7234304.0","1.827570813E9"
"2022/01/17","383.81","-3.64","-0.94","387.00","387.33","381.56","135818.0","7413659.0","1.843942986E9"
"2022/01/14","387.45","-5.55","-1.41","389.66","390.81","386.25","146048.0","8539783.0","1.864010699E9"
"2022/01/13","393.00","-1.66","-0.42","395.68","395.93","392.52","151714.0","8899436.0","1.891401067E9"
"2022/01/12","394.66","5.69","1.46","392.29","394.87","391.96","210106.0","8821315.0","1.898702517E9"
"2022/01/11","388.97","1.45","0.37","388.32","390.43","386.26","133429.0","7933719.0","1.869095805E9"
"2022/01/10","387.52","-3.33","-0.85","389.68","390.24","384.79","139103.0","8306218.0","1.866521471E9"
"2022/01/07","390.85","4.63","1.20","388.30","391.75","388.06","114277.0","8111558.0","1.884682126E9"
"2022/01/06","386.22","-4.17","-1.07","386.59","390.51","385.30","152387.0","9949713.0","1.862774877E9"
"2022/01/05","390.39","-5.01","-1.27","394.91","395.20","387.56","175489.0","1.1706292E7","1.883408943E9"
"2022/01/04","395.40","-0.11","-0.03","396.01","396.71","393.35","117161.0","7335075.0","1.908027275E9"
"2022/01/03","395.51","1.32","0.33","397.16","399.44","394.26","97581.0","5916888.0","1.909559749E9"
"2021/12/30","394.19","-2.53","-0.64","397.13","398.59","393.89","103887.0","6441432.0","1.902371491E9"
"2021/12/29","396.72","-4.49","-1.12","398.74","399.16","395.85","169048.0","8442540.0","1.91464039E9"
"2021/12/28","401.21","2.60","0.65","399.56","401.21","397.24","169712.0","9338598.0","1.93552146E9"
"2021/12/27","398.61","-1.92","-0.48","400.61","401.07","398.31","103636.0","5653275.0","1.920708427E9"
"2021/12/24","400.53","2.38","0.60","399.72","402.46","399.66","102503.0","6252102.0","1.9290705E9"
"2021/12/23","398.15","2.08","0.53","397.98","398.36","395.71","105282.0","6647241.0","1.919620421E9"
"2021/12/22","396.07","2.12","0.54","396.82","398.06","394.77","100313.0","6446064.0","1.910087957E9"
"2021/12/21","393.95","2.58","0.66","394.35","395.28","391.19","105998.0","6533208.0","1.904137929E9"
"2021/12/20","391.37","-7.59","-1.90","396.42","396.61","390.92","97270.0","6575366.0","1.895359388E9"
"2021/12/17","398.96","1.28","0.32","394.46","399.02","394.26","134698.0","8722582.0","1.932001853E9"
"2021/12/16","397.68","2.02","0.51","398.93","399.68","395.19","94126.0","6426262.0","1.924857651E9"
"2021/12/15","395.66","0.25","0.06","393.99","395.76","392.85","88943.0","5635111.0","1.912865663E9"
"2021/12/14","395.41","-1.86","-0.47","394.54","397.02","393.50","116496.0","6880161.0","1.911975148E9"
"2021/12/13","397.27","-0.70","-0.18","399.38","403.37","396.83","113328.0","6880591.0","1.921166797E9"
"2021/12/10","397.97","-3.16","-0.79","398.21","399.12","396.58","92722.0","6164416.0","1.926581978E9"
"2021/12/09","401.13","3.86","0.97","398.19","401.13","396.93","159054.0","1.0120064E7","1.900362233E9"
"2021/12/08","397.27","0.96","0.24","399.89","402.34","396.32","140133.0","8638328.0","1.882351537E9"
"2021/12/07","396.31","3.46","0.88","392.88","396.46","391.29","157041.0","7606788.0","1.875771536E9"
"2021/12/06","392.85","0.89","0.23","389.95","394.40","387.58","124901.0","7464588.0","1.861963794E9"
"2021/12/03","391.96","2.32","0.60","388.21","393.30","386.42","127840.0","8027937.0","1.858912489E9"
"2021/12/02","389.64","6.51","1.70","379.76","389.64","379.59","150989.0","9682851.0","1.846254226E9"
"2021/12/01","383.13","9.89","2.65","376.45","384.05","373.61","167599.0","9948057.0","1.81684793E9"
"2021/11/30","373.24","-8.39","-2.20","385.01","386.34","370.86","258522.0","1.5951427E7","1.775046319E9"
"2021/11/29","381.63","-3.44","-0.89","381.25","384.97","379.27","178593.0","9562235.0","1.805088538E9"
"2021/11/26","385.07","-6.86","-1.75","390.61","392.81","384.19","145771.0","8625604.0","1.831345767E9"
"2021/11/25","391.93","-3.47","-0.88","395.67","395.73","391.69","117213.0","6741120.0","1.859801461E9"
"2021/11/24","395.40","-1.04","-0.26","397.88","399.38","393.27","128293.0","7758092.0","1.873428557E9"
"2021/11/23","396.44","-2.63","-0.66","399.43","399.52","395.58","124509.0","8064805.0","1.877313574E9"
"2021/11/22","399.07","8.54","2.19","393.16","399.88","392.75","144701.0","9890188.0","1.889978598E9"
"2021/11/19","390.53","3.09","0.80","387.97","391.24","387.31","130759.0","7982879.0","1.857881245E9"
"2021/11/18","387.44","-2.00","-0.51","388.86","390.00","386.31","130466.0","7398204.0","1.840789632E9"
"2021/11/17","389.44","-4.63","-1.17","394.88","395.25","388.70","146333.0","8067206.0","1.851043924E9"
"2021/11/16","394.07","-0.29","-0.07","393.94","396.49","392.62","134392.0","8246106.0","1.873783343E9"
