일자,기관 합계,기타법인,개인,외국인 합계,전체
"2021/11/23","1721","338","2148","-4207","0"
"2021/11/22","-5085","-549","-4296","9930","0"
"2021/11/19","287","-525","-1482","1720","0"
"2021/11/18","-2692","169","-561","3084","0"
"2021/11/17","7198","575","4684","-12457","0"
"2021/11/16","-1683","145","957","581","0"
"2021/11/15","-507","-217","-1159","1883","0"
"2021/11/12","-1146","-408","-2729","4283","0"
"2021/11/11","696","171","-3343","2476","0"
"2021/11/10","711","724","3555","-4990","0"
"2021/11/09","-2529","-595","-1898","5022","0"
"2021/11/08","-2778","300","-36","2514","0"
"2021/11/05","2169","482","558","-3209","0"
"2021/11/04","-3831","-713","-3571","8115","0"
"2021/11/03","5501","326","3957","-9784","0"
"2021/11/02","-9528","-199","2066","7661","0"
"2021/11/01","-6383","-677","-3070","10130","0"
"2021/10/29","3789","-31","-528","-3230","0"
"2021/10/28","-2448","-179","-1240","3867","0"
"2021/10/27","3790","405","3732","-7927","0"
"2021/10/26","3110","-227","936","-3819","0"
"2021/10/25","963","152","-1593","478","0"
"2021/10/22","-2427","-193","-540","3160","0"
"2021/10/21","-1669","-15","-1115","2799","0"
"2021/10/20","-790","-86","1323","-447","0"
"2021/10/19","-971","-109","1522","-442","0"
"2021/10/18","-1736","275","93","1368","0"
"2021/10/15","-956","-278","-282","1516","0"
"2021/10/14","-1941","-106","913","1134","0"
"2021/10/13","-4517","-784","-790","6091","0"
"2021/10/12","-237","964","-1369","642","0"
"2021/10/08","1000","-141","-3772","2913","0"
"2021/10/07","-1859","-339","2860","-662","0"
"2021/10/06","74","80","2762","-2916","0"
"2021/10/05","-1091","159","-1433","2365","0"
"2021/10/01","1602","-456","2052","-3198","0"
"2021/09/30","1670","-179","-2374","883","0"
"2021/09/29","4805","-489","-3986","-330","0"
"2021/09/28","5395","821","5152","-11368","0"
"2021/09/27","-1496","-139","-1079","2714","0"
"2021/09/24","2334","129","950","-3413","0"
"2021/09/23","-911","-122","1817","-784","0"
"2021/09/17","1059","-158","-2045","1144","0"
"2021/09/16","7606","411","1690","-9707","0"
"2021/09/15","-463","161","-262","564","0"
"2021/09/14","-5273","-169","-746","6188","0"
"2021/09/13","-1507","-5","-4336","5848","0"
"2021/09/10","602","-1480","-1427","2305","0"
"2021/09/09","474","1486","-668","-1292","0"
"2021/09/08","-616","-71","-1469","2156","0"
"2021/09/07","404","154","968","-1526","0"
"2021/09/06","-1591","65","829","697","0"
"2021/09/03","-1814","510","963","341","0"
"2021/09/02","-233","-1072","1788","-483","0"
"2021/09/01","59","-76","4212","-4195","0"
"2021/08/31","-675","3261","-4575","1989","0"
"2021/08/30","1812","-612","-655","-545","0"
"2021/08/27","-1712","-189","-1660","3561","0"
"2021/08/26","-205","-212","1245","-828","0"
"2021/08/25","-1533","172","1669","-308","0"
"2021/08/24","-467","-342","-2612","3421","0"
"2021/08/23","-277","-283","-1380","1940","0"
"2021/08/20","1022","-878","-4247","4103","0"
"2021/08/19","-661","383","1085","-807","0"
"2021/08/18","-232","-68","-2255","2555","0"
"2021/08/17","-601","-721","-124","1446","0"
"2021/08/13","7762","701","-496","-7967","0"
"2021/08/12","-4533","315","1970","2248","0"
"2021/08/11","2962","-331","3846","-6477","0"
"2021/08/10","8056","-558","8484","-15982","0"
"2021/08/09","2766","-598","1172","-3340","0"
"2021/08/06","3066","417","6946","-10429","0"
"2021/08/05","-4077","331","4865","-1119","0"
"2021/08/04","-8861","-13","-3825","12699","0"
"2021/08/03","-6041","108","-8388","14321","0"
"2021/08/02","-5802","-274","-3280","9356","0"
"2021/07/30","7865","-10","5074","-12929","0"
"2021/07/29","-1500","135","90","1275","0"
"2021/07/28","-2464","157","-255","2562","0"
"2021/07/27","-4631","-248","-3033","7912","0"
"2021/07/26","3748","-385","5225","-8588","0"
"2021/07/23","-2630","483","1699","448","0"
"2021/07/22","-11433","408","-7231","18256","0"
"2021/07/21","5767","13","1900","-7680","0"
"2021/07/20","46","-127","1241","-1160","0"
"2021/07/19","3404","-600","1430","-4234","0"
"2021/07/16","5851","105","771","-6727","0"
"2021/07/15","-2314","374","-1761","3701","0"
"2021/07/14","702","-224","1864","-2342","0"
"2021/07/13","-4757","120","-2009","6646","0"
"2021/07/12","-2530","-26","-5130","7686","0"
"2021/07/09","8099","-514","-4654","-2931","0"
"2021/07/08","4799","-459","6300","-10640","0"
"2021/07/07","5473","-56","4710","-10127","0"
"2021/07/06","-1639","151","1039","449","0"
"2021/07/05","-2604","138","-2513","4979","0"
"2021/07/02","227","-146","-1823","1742","0"
"2021/07/01","7286","-31","3287","-10542","0"
"2021/06/30","-908","-67","-2329","3304","0"
"2021/06/29","6084","120","2374","-8578","0"
"2021/06/28","2703","42","-122","-2623","0"
"2021/06/25","-3107","259","1554","1294","0"
"2021/06/24","-3718","136","-1434","5016","0"
"2021/06/23","-4419","-14","-2014","6447","0"
"2021/06/22","-685","-69","-1556","2310","0"
"2021/06/21","6422","-538","414","-6298","0"
"2021/06/18","-129","407","1026","-1304","0"
"2021/06/17","4219","-740","2067","-5546","0"
"2021/06/16","-5026","221","-1694","6499","0"
"2021/06/15","357","-114","-2872","2629","0"
"2021/06/14","2128","159","841","-3128","0"
"2021/06/11","-930","38","328","564","0"
"2021/06/10","-3809","99","-3621","7331","0"
"2021/06/09","133","-444","1029","-718","0"
"2021/06/08","-2169","-91","887","1373","0"
"2021/06/07","1311","-20","-243","-1048","0"
"2021/06/04","62","-131","3478","-3409","0"
"2021/06/03","-7111","471","-3178","9818","0"
"2021/06/02","-2820","-77","1419","1478","0"
"2021/06/01","-6011","63","94","5854","0"
"2021/05/31","1464","62","-242","-1284","0"
"2021/05/28","-6506","473","-1241","7274","0"
"2021/05/27","-249","3","-38","284","0"
"2021/05/26","380","129","1803","-2312","0"
"2021/05/25","-3240","133","-2719","5826","0"
"2021/05/24","-752","-124","-528","1404","0"
"2021/05/21","3496","413","2390","-6299","0"
"2021/05/20","-716","290","205","221","0"
"2021/05/18","-2607","-333","452","2488","0"
"2021/05/17","2776","128","778","-3682","0"
"2021/05/14","981","-323","-2099","1441","0"
"2021/05/13","-4806","-325","-1336","6467","0"
"2021/05/12","10998","-655","1565","-11908","0"
"2021/05/11","7911","-572","1946","-9285","0"
"2021/05/10","-8796","339","1084","7373","0"
"2021/05/07","-5862","363","-747","6246","0"
"2021/05/06","-4320","630","2203","1487","0"
"2021/05/04","-1222","-379","-1904","3505","0"
"2021/05/03","367","-144","-666","443","0"
"2021/04/30","4226","8","-1900","-2334","0"
"2021/04/29","-2850","-34","152","2732","0"
"2021/04/28","6157","-657","3640","-9140","0"
"2021/04/27","-1733","21","298","1414","0"
"2021/04/26","-1311","210","-479","1580","0"
"2021/04/23","-5453","-109","-224","5786","0"
"2021/04/22","-822","38","-336","1120","0"
"2021/04/21","13235","-486","-2706","-10043","0"
"2021/04/20","-3579","4","-511","4086","0"
"2021/04/19","-424","-300","-1500","2224","0"
"2021/04/16","2939","61","-804","-2196","0"
"2021/04/15","-2526","215","2949","-638","0"
"2021/04/14","-1809","-38","-1680","3527","0"
"2021/04/13","-7523","263","-1011","8271","0"
"2021/04/12","2430","-99","-507","-1824","0"
"2021/04/09","3607","-286","-2922","-399","0"
"2021/04/08","-1220","-265","2610","-1125","0"
"2021/04/07","403","207","395","-1005","0"
"2021/04/06","2017","147","-82","-2082","0"
"2021/04/05","2028","129","445","-2602","0"
"2021/04/02","-2442","155","2331","-44","0"
"2021/04/01","617","35","-973","321","0"
"2021/03/31","-641","474","3323","-3156","0"
"2021/03/30","-6723","214","919","5590","0"
"2021/03/29","-1598","690","-2465","3373","0"
"2021/03/26","-4141","550","1817","1774","0"
"2021/03/25","932","-216","801","-1517","0"
"2021/03/24","1998","-170","-1032","-796","0"
"2021/03/23","6310","-92","-676","-5542","0"
"2021/03/22","-840","71","-488","1257","0"
"2021/03/19","4357","-1504","-944","-1909","0"
"2021/03/18","-4644","383","801","3460","0"
"2021/03/17","6245","251","736","-7232","0"
"2021/03/16","-723","87","-1383","2019","0"
"2021/03/15","2684","104","707","-3495","0"
"2021/03/12","-4299","145","636","3518","0"
"2021/03/11","5644","689","-2858","-3475","0"
"2021/03/10","559","205","-230","-534","0"
"2021/03/09","3489","-371","1740","-4858","0"
"2021/03/08","1801","426","606","-2833","0"
"2021/03/05","986","40","-1580","554","0"
"2021/03/04","1398","385","734","-2517","0"
"2021/03/03","-4968","-314","25","5257","0"
"2021/03/02","-485","845","1499","-1859","0"
"2021/02/26","7468","-786","-703","-5979","0"
"2021/02/25","-4292","843","362","3087","0"
"2021/02/24","932","-446","554","-1040","0"
"2021/02/23","-218","260","-1161","1119","0"
"2021/02/22","397","-285","2518","-2630","0"
"2021/02/19","3374","-140","-4362","1128","0"
"2021/02/18","801","0","133","-934","0"
"2021/02/17","7509","12","-4791","-2730","0"
"2021/02/16","-483","62","1633","-1212","0"
"2021/02/15","1111","98","2559","-3768","0"
"2021/02/10","-4957","838","-1566","5685","0"
"2021/02/09","-1168","-255","-1398","2821","0"
"2021/02/08","-1150","-1372","1963","559","0"
"2021/02/05","-722","1357","-509","-126","0"
"2021/02/04","7392","-2057","-489","-4846","0"
"2021/02/03","4177","17","902","-5096","0"
"2021/02/02","-3098","539","5708","-3149","0"
"2021/02/01","2453","2204","672","-5329","0"
"2021/01/29","598","-1278","-1293","1973","0"
"2021/01/28","1301","-1633","-5057","5389","0"
"2021/01/27","-3120","458","152","2510","0"
"2021/01/26","9624","-1363","-5030","-3231","0"
"2021/01/25","-636","498","1322","-1184","0"
"2021/01/22","-4732","120","-509","5121","0"
"2021/01/21","3328","109","952","-4389","0"
"2021/01/20","3578","293","994","-4865","0"
"2021/01/19","97","1288","2401","-3786","0"
"2021/01/18","-4339","-1035","232","5142","0"
"2021/01/15","-1000","932","-3420","3488","0"
"2021/01/14","-1955","-1472","-4641","8068","0"
"2021/01/13","-3954","909","3749","-704","0"
"2021/01/12","4220","-776","-3001","-443","0"
"2021/01/11","3972","79","1213","-5264","0"
"2021/01/08","4730","813","386","-5929","0"
"2021/01/07","-2211","-197","6029","-3621","0"
"2021/01/06","3035","-220","-392","-2423","0"
"2021/01/05","5991","324","2611","-8926","0"
"2021/01/04","6595","-8","-1065","-5522","0"
"2020/12/30","2860","1017","-190","-3687","0"
"2020/12/29","5892","-1650","-325","-3917","0"
"2020/12/28","2460","504","3200","-6164","0"
"2020/12/24","1441","-733","-1199","491","0"
"2020/12/23","-3780","617","-336","3499","0"
"2020/12/22","-2264","-63","986","1341","0"
"2020/12/21","-470","331","-690","829","0"
"2020/12/18","-1141","-229","-1201","2571","0"
"2020/12/17","-1135","328","760","47","0"
"2020/12/16","1517","-234","1009","-2292","0"
"2020/12/15","-3216","-34","-428","3678","0"
"2020/12/14","-1028","218","50","760","0"
"2020/12/11","-314","4","-1495","1805","0"
"2020/12/10","2908","-325","879","-3462","0"
"2020/12/09","4539","1081","-2161","-3459","0"
"2020/12/08","-4131","-420","3404","1147","0"
"2020/12/07","1246","-110","-531","-605","0"
"2020/12/04","-114","227","2389","-2502","0"
"2020/12/03","272","129","-267","-134","0"
"2020/12/02","1886","458","731","-3075","0"
"2020/12/01","-1474","-591","312","1753","0"
"2020/11/30","4070","88","2798","-6956","0"
"2020/11/27","-683","-62","-1181","1926","0"
"2020/11/26","885","-35","-2620","1770","0"
"2020/11/25","-2903","19","-476","3360","0"
"2020/11/24","832","-29","3239","-4042","0"
"2020/11/23","-969","255","-1044","1758","0"
"2020/11/20","-805","24","-711","1492","0"
"2020/11/19","-1163","73","-340","1430","0"
"2020/11/18","-105","-45","-788","938","0"
"2020/11/17","-4749","102","808","3839","0"
"2020/11/16","-1259","-125","1651","-267","0"
"2020/11/13","-3320","74","570","2676","0"
"2020/11/12","-4650","17","-1625","6258","0"
"2020/11/11","-6016","-149","2094","4071","0"
"2020/11/10","-2825","-129","737","2217","0"
"2020/11/09","1069","64","-1571","438","0"
"2020/11/06","-8651","-93","1203","7541","0"
"2020/11/05","-8071","-58","-1927","10056","0"
"2020/11/04","-2352","106","2225","21","0"
"2020/11/03","-3258","59","-1192","4391","0"
"2020/11/02","1452","-164","-2981","1693","0"
"2020/10/30","3719","66","947","-4732","0"
"2020/10/29","5101","128","2691","-7920","0"
"2020/10/28","-818","-166","-1861","2845","0"
"2020/10/27","2079","142","462","-2683","0"
"2020/10/26","-2700","26","2182","492","0"
"2020/10/23","-1313","-99","-68","1480","0"
"2020/10/22","867","-382","-711","226","0"
"2020/10/21","-1332","84","123","1125","0"
"2020/10/20","-990","215","-1107","1882","0"
"2020/10/19","-1459","-85","1017","527","0"
"2020/10/16","-4012","36","-79","4055","0"
"2020/10/15","-1206","175","-1657","2688","0"
"2020/10/14","-1040","176","1508","-644","0"
"2020/10/13","1747","17","-2289","525","0"
"2020/10/12","1067","25","427","-1519","0"
"2020/10/08","-2283","196","3337","-1250","0"
"2020/10/07","-7681","-358","847","7192","0"
"2020/10/06","1230","83","1730","-3043","0"
"2020/10/05","-801","-10","-1430","2241","0"
"2020/09/29","3989","0","85","-4074","0"
"2020/09/28","2157","402","-1102","-1457","0"
"2020/09/25","-1115","-681","-1783","3579","0"
"2020/09/24","899","161","2234","-3294","0"
"2020/09/23","2354","110","-4150","1686","0"
"2020/09/22","8275","131","1630","-10036","0"
"2020/09/21","-117","-189","1069","-763","0"
"2020/09/18","1667","-29","-1190","-448","0"
"2020/09/17","2004","-94","352","-2262","0"
"2020/09/16","-1988","194","60","1734","0"
"2020/09/15","-2516","-71","-1446","4033","0"
"2020/09/14","-241","154","1618","-1531","0"
"2020/09/11","-3564","107","167","3290","0"
"2020/09/10","-1476","-32","-736","2244","0"
"2020/09/09","-3221","-248","1811","1658","0"
"2020/09/08","331","69","2475","-2875","0"
"2020/09/07","156","89","121","-366","0"
"2020/09/04","-5899","245","-3471","9125","0"
"2020/09/03","-3583","-411","-893","4887","0"
